hour,avg_fridge,avg_dishwasher,avg_tumbledryer,avg_washingmachine,avg_kettle
0,43.3178004650349,1.95385966119658,0.0180061096624356,0.124867846978366,1.05841954576273
1,39.2907626016966,0.102769499632009,1.19223943555754,0.335814499457542,1.25528146647999
2,40.8359682194947,0.0753927958245401,6.57503755103514,1.47611836065059,10.4956524432059
3,44.928739322919,8.94757544511317,23.5707072261533,10.4943520680972,31.338357135013
4,47.3657697091883,28.9490820641624,38.647258962114,32.038165303879,33.3360565937966
5,53.6583323158466,66.8483572746135,58.1427692266183,54.2346323509335,46.3283919560578
6,54.1847482431947,76.293669825089,100.525382978363,95.2414887899416,43.9208204270228
7,55.2047055766295,85.1448678524881,93.4442515117421,73.9148709233828,27.9277054832413
8,53.7520326967852,91.0991034528926,90.7902926827003,65.9489603585324,23.3976907761293
9,56.7769002601654,65.9807501506275,79.2603139318013,59.2663878974509,21.1098600961155
10,57.8690960026536,68.0292557737286,121.721849780171,49.2674026649991,19.2201424499237
11,55.2345416166317,64.9246022245894,103.816882892565,44.513004360933,20.4360589844315
12,61.4987351150508,77.5055787368818,102.682921448311,37.1538833899185,21.4862581220897
13,56.0751630493634,77.7981778717553,94.5272126485255,40.2731600745785,22.8973714017326
14,57.1813870713836,61.48224683729,78.9636936179946,28.2864346975659,18.1005609349026
15,61.3408147069258,65.9780285621635,88.3233253378229,18.6644051620338,22.7336017111
16,64.2042551474195,78.7201558673978,53.0326748406098,14.7060872284206,25.6802912647965
17,63.848307879763,111.82825632174,41.195419626345,17.1843550863653,23.7613074181264
18,56.1707475179949,79.1939036056149,34.7384602278851,11.1926097355729,13.0862492621585
19,54.8578586827607,24.9786141002543,30.2949222049484,10.5331814080452,5.88612318005449
20,49.7334811437595,8.2500947826309,16.697671519765,7.09601473309845,2.64369405721277
21,45.241541384466,3.10749159051935,1.00170039245923,3.04949174412005,0.558880201970935
22,46.3483799569256,8.19206530225927,0.0171989207737307,0.831721430894702,0.776003597435578
23,44.4283814424458,9.40399096763473,0.0370959038481236,0.169634068000552,0.478245497665673
